"Moneyness","K","Type","CRR","BlackScholes","AbsError","RelError"
0.8,80,"Call",72.86945850545,73.004913946647,0.135455441196981,0.18554290920194
0.8,80,"Put",49.0599346959267,49.1953901371232,0.135455441196477,0.275341735920621
0.9,90,"Call",71.053480934907,71.2747250006849,0.221244065777853,0.31041026924443
0.9,90,"Put",56.7677666491934,56.9890107149706,0.221244065777228,0.388222330939864
1,100,"Call",69.3021980361422,69.6791707952598,0.376972759117564,0.541012119999581
1,100,"Put",64.5402932742381,64.917266033355,0.376972759116882,0.580697219940209
1.1,110,"Call",67.9591431874439,68.198802782399,0.239659594955128,0.351413199612619
1.1,110,"Put",72.7210479493494,72.9607075443038,0.239659594954389,0.328477619010015
1.2,120,"Call",66.6160883387456,66.8182351487896,0.202146810043985,0.302532399417386
1.2,120,"Put",80.9018026244607,81.1039494345039,0.202146810043232,0.249244101492834
